a_um,b_um,field,V_um3,R_um,D_um,Ss_um2,Sps_um2,sigma_
13.58,9.98,H2,5665.646343215912,11.059112708364083,22.118225416728166,1536.9170635898151,1561.6123579866048,0.016068072234885822
18.48,9.98,H2,7709.951724788664,12.255217307260063,24.510434614520126,1887.3476164852432,2003.0840895103788,0.06132228743355106
11.78,7.89,H2,3071.76442341297,9.017782692692915,18.03556538538583,1021.902343877285,1049.3085628911642,0.026818823910213396
14.14,7.48,H2,3313.9138528806707,9.248774733250968,18.497549466501937,1074.925257169439,1145.120808791295,0.06530272793728886
29.53,17.4,H2,37449.89055450529,20.75490012497883,41.50980024995766,5413.163686020407,5661.0737071223875,0.045797621406168165
12.54,8.27,H2,3592.5032103455665,9.501004385035978,19.002008770071956,1134.3547686401662,1167.0941422450412,0.02886167053727129
17.96,11.11,H2,9285.879838994408,13.039015954761059,26.078031909522117,2136.483275550506,2217.763971898907,0.038044152874287196
10.31,5.24,H2,1185.7956383067806,6.566093757582661,13.132187515165322,541.7813156889812,581.5093408767345,0.07332852580423777
16.66,10.55,H2,7767.2722106588335,12.28551327254878,24.57102654509756,1896.6905260721146,1962.2188396649487,0.03454876411943575
15.53,10.89,H2,7714.642838903598,12.25770236245633,24.51540472491266,1888.1131089948376,1928.1041895793242,0.02118044750283854
16.95,7.86,H2,4386.351227538781,10.154805234423174,20.309610468846348,1295.8450092188118,1416.7076112001466,0.09326933477499422
16.36,8.91,H2,5440.355964942017,10.910539747798174,21.821079495596347,1495.899219662323,1585.2483013418318,0.05972934573739397
15.59,7.46,H2,3634.229751817162,9.537647265443903,19.075294530887806,1143.1214587850507,1241.6572832904112,0.08619891066526542
11.7,7.47,H2,2734.737681057699,8.675123945220887,17.350247890441775,945.7170981047232,977.2690994808228,0.03336304423313474
29.52,16.76,H2,34733.855327434736,20.240510436178543,40.481020872357085,5148.168881949286,5416.693862698574,0.05215931856680167
31.3,21.01,H2,57874.20678067346,23.995629487722393,47.99125897544479,7235.593483007232,7427.5961139966275,0.02653585105911671
16.74,13.1,H2,12033.352925106388,14.2156268487272,28.4312536974544,2539.463026109987,2565.5740586931242,0.010282107797857876
14.11,8.88,H2,4660.597035755986,10.362176413498547,20.724352826997094,1349.3102751130757,1397.1550089805535,0.03545865969446371
12.1,8.87,H2,3987.688439561796,9.837336712021386,19.674673424042773,1216.0878161328278,1235.9407043258677,0.01632520935549886
15.34,9.07,H2,5286.016848254009,10.806373598433241,21.612747196866483,1467.4719877407526,1533.8409270262696,0.045226716312108506
13.51,6.05,H2,2071.355813789074,7.907794342303502,15.815588684607004,785.8155096579172,865.5066311504022,0.10141199876186757
16.94,8.27,H2,4853.030652572082,10.502873668481321,21.005747336962642,1386.2008072521578,1499.6187487854095,0.08181927246029974
23.39,14.92,H2,21810.040768442184,17.332290362622302,34.664580725244605,3775.041897891862,3901.4836586628694,0.03349413442049953
19.56,13.51,H2,14954.37124202773,15.283630028749984,30.56726005749997,2935.3703041549243,3002.797255120225,0.022970509332284283
11.69,7.66,H2,2873.165611132183,8.819094917264314,17.638189834528628,977.3675092806824,1006.425669827376,0.029731048219599376
16.36,9.93,H2,6757.256514358084,11.728089335862153,23.456178671724306,1728.4801439128903,1799.331877838756,0.04099077109759186
14.52,10.31,H2,6465.059947311162,11.556544137249093,23.113088274498185,1678.2854468940127,1711.4338120640202,0.019751327303323185
24.19,9.88,H2,9890.958207673977,13.31629024315177,26.63258048630354,2228.313898330801,2505.3372047149305,0.12431969597804149
10.28,6.67,H2,1915.7259926088946,7.704567436917571,15.409134873835143,745.9442758964287,769.1332571113288,0.031086747313709306
30.45,18.78,H2,44984.93342972134,22.0627422301915,44.125484460383,6116.864299148028,6352.375732059815,0.03850198752072842
14.11,12.1,H2,8653.391719485962,12.735986346013554,25.47197269202711,2038.3325211858114,2046.685129183861,0.004097765164042144
15.74,9.98,H2,6566.809531827574,11.616855934766562,23.233711869533124,1695.8485760784797,1754.12596105032,0.03436473385294958
18.16,6.05,H2,2784.2947134278006,8.727212105665819,17.454424211331638,957.1079560287754,1131.3643637980463,0.18206557230209852
13.55,6.67,H2,2525.1057587403234,8.447541247446278,16.895082494892556,896.7481843916431,968.5234156620373,0.08003944978052768
20.99,13.52,H2,16071.426671658219,15.655079374845318,31.310158749690636,3079.7850883110596,3178.6711759632763,0.032108113006821926
22.78,16.35,H2,25508.08426764305,18.26121814821865,36.5224362964373,4190.533850579619,4268.313327682443,0.018560756189110794
15.9,9.64,H2,6189.2753116140075,11.389825332248838,22.779650664497677,1630.2116488362278,1697.3237181597788,0.041167703206795636
14.23,4.15,H3,1026.5726812665155,6.257973184208095,12.51594636841619,492.12707583521933,602.7466712551405,0.22477851931268322
10.09,3.56,H3,535.6483500323524,5.038064470526567,10.076128941053135,318.9607952613402,371.54085174277316,0.1648480228999667
11.27,6.52,H3,2006.816748059884,7.824796215266099,15.649592430532199,769.4066501609093,807.0236936000317,0.048890977783016876
